timestamp,country_residency,ip_country,important_score
1713763082,,Poland,0
1713763111,,Colombia,0
1713763257,,El Salvador,0
1713763312,,El Salvador,0
1713763456,,Uzbekistan,0
1713763507,,Uzbekistan,0
1713763524,,Australia,0
1713763555,,Philippines,0
1713763591,Philippines,Philippines,0
1713763785,,United States of America,0
1713763805,,El Salvador,0
1713763880,,Madagascar,0
1713764130,,North Macedonia,0
1713764256,,United States of America,0
1713764550,,India,0
1713764581,United States,United States of America,10
1713764588,,India,0
1713764618,,India,0
1713764639,,South Africa,0
1713764789,,United States of America,0
1713764843,,United States of America,0
1713765055,,Kenya,0
1713765246,,Australia,0
1713765248,,Kuwait,0
1713765254,,Serbia,0
1713765269,,Namibia,0
1713765304,,Poland,0
1713765317,,Australia,0
1713765370,,Poland,0
1713765392,,Philippines,0
1713765482,,Norway,0
1713765561,,Madagascar,0
1713765635,,Thailand,0
1713765697,,Uzbekistan,0
1713766015,,Germany,0
1713766059,,Pakistan,0
1713766123,,Ethiopia,0
1713766141,,Switzerland,0
1713766232,,Turkey,0
1713766292,,Egypt,0
1713766309,,India,0
1713766454,,Singapore,0
1713766490,South Africa,South Africa,0
1713766521,,United Arab Emirates,0
1713766643,,Canada,0
1713766662,,Netherlands,0
1713766672,,Uzbekistan,0
1713766805,,Sweden,0
1713766871,,North Macedonia,0
1713766991,,Netherlands,0
1713767030,,South Africa,0
1713767034,,Uzbekistan,0
1713767142,,Netherlands,0
1713767144,,Belgium,0
1713767187,,United Kingdom of Great Britain and Northern Ireland,0
1713767252,,Japan,0
1713767285,,Ecuador,0
1713767430,,Ghana,0
1713767661,,Hungary,0
1713767679,,Hungary,0
1713767682,,France,0
1713767758,,Australia,0
1713767773,,Azerbaijan,0
1713767830,,Germany,0
1713767925,,Albania,0
1713767944,,New Zealand,0
1713768291,,United States of America,0
1713768337,,Romania,0
1713768383,Pakistan,Pakistan,0
1713768427,,Philippines,0
1713768462,,Netherlands,0
1713768539,,India,0
1713768549,,United States of America,0
1713768600,,United States of America,0
1713768609,,Turkey,0
1713768735,,Cyprus,0
1713768759,,Poland,0
1713768904,,Hong Kong,0
1713768985,,United Kingdom of Great Britain and Northern Ireland,0
1713769024,,France,0
1713769033,,Malaysia,0
1713769055,,Greece,0
1713769194,,Mozambique,0
1713769208,,Philippines,0
1713769221,,Slovakia,0
1713769250,,Australia,0
1713769381,,Germany,0
1713769406,,United States of America,0
1713769426,,India,0
1713769588,Portugal,Portugal,0
1713769804,,Slovakia,0
1713769871,,India,0
1713769912,,United Kingdom of Great Britain and Northern Ireland,0
1713769938,,Germany,0
1713769950,,United States of America,0
1713770086,,India,0
1713770204,Kenya,United States of America,0
1713770224,,Serbia,0
1713770230,,Germany,0
1713770245,,Serbia,0
1713770253,,Germany,0
1713770382,,Cambodia,0
1713770417,,Germany,0
1713770464,,United States of America,0
1713770474,,Saudi Arabia,0
1713770707,Malaysia,Malaysia,0
1713770793,,Philippines,0
1713770816,,Netherlands,0
1713770823,,Germany,0
1713770840,,Liechtenstein,0
1713770855,,Kenya,0
1713770939,,Italy,0
1713770940,,Moldova (Republic of),0
1713771175,,Belgium,0
1713771184,,Australia,0
1713771200,,Germany,0
1713771274,,Pakistan,0
1713771290,Ghana,Ghana,0
1713771323,,Norway,0
1713771488,,India,0
1713771507,,Greece,0
1713771514,,Malaysia,0
1713771572,,Poland,0
1713771622,,Israel,0
1713771652,,Macao,0
1713771673,,New Zealand,0
1713771698,,United Kingdom of Great Britain and Northern Ireland,0
1713771814,,Indonesia,0
1713771841,,Spain,0
1713771879,,United Kingdom of Great Britain and Northern Ireland,0
1713771917,,United States of America,0
1713771992,,United Kingdom of Great Britain and Northern Ireland,0
1713772029,,Greece,0
1713772082,,Germany,0
1713772148,Austria,Austria,0
1713772206,,India,0
1713772296,,Estonia,0
1713772305,,Belgium,0
1713772363,Israel,Israel,0
1713772401,,France,0
1713772436,,France,0
1713772550,,United Kingdom of Great Britain and Northern Ireland,0
1713772803,,United States of America,0
1713772886,,New Zealand,0
1713772904,,Serbia,0
1713772991,,Sweden,0
1713773071,,Germany,0
1713773347,,Philippines,0
1713773416,,United Kingdom of Great Britain and Northern Ireland,0
1713773511,,Switzerland,0
1713773725,,Poland,0
1713773808,,Spain,0
1713773846,,France,0
1713773853,Spain,Spain,10
1713773929,,Japan,0
1713774073,Bosnia and Herzegovina,Bosnia and Herzegovina,0
1713774158,,United Kingdom of Great Britain and Northern Ireland,0
1713774169,,Cambodia,0
1713774178,,Madagascar,0
1713774219,,United Kingdom of Great Britain and Northern Ireland,0
1713774267,,Romania,0
1713774299,India,United States of America,0
1713774325,,Germany,0
1713774366,Uganda,Germany,0
1713774415,,United Kingdom of Great Britain and Northern Ireland,0
1713774426,Czech Republic,Spain,0
1713774539,,India,0
1713774567,,Serbia,0
1713774579,United States,United States of America,#REF!
1713774639,,Saudi Arabia,0
1713774645,,Belgium,0
1713774664,,Turkey,0
1713774764,,Poland,0
1713774840,,Netherlands,0
1713774888,,Germany,0
1713774898,,Philippines,0
1713775000,,Turkey,0
1713775148,,Poland,0
1713775186,,India,0
1713775216,,Viet Nam,0
1713775258,,Netherlands,0
1713775260,,Portugal,0
1713775285,,Czechia,0
1713775314,,Portugal,0
1713775454,Bulgaria,Bulgaria,0
1713775454,,France,0
1713775474,,Romania,0
1713775479,,Malta,0
1713775560,,United States of America,0
1713775605,,Egypt,0
1713775636,,United States of America,0
1713775654,,United States of America,0
1713775728,,United Kingdom of Great Britain and Northern Ireland,0
1713775770,,United Kingdom of Great Britain and Northern Ireland,0
1713775773,,Netherlands,0
1713775797,,Netherlands,0
1713775822,,Netherlands,0
1713775824,,Uzbekistan,0
1713775847,,Netherlands,0
1713775859,,Netherlands,0
1713775877,,Netherlands,0
1713775983,South Africa,South Africa,0
1713776007,,Uzbekistan,0
1713776022,Uzbekistan,Uzbekistan,0
1713776109,South Africa,South Africa,0
1713776132,Cyprus,Cyprus,#REF!
1713776134,,Saudi Arabia,0
1713776145,,United Kingdom of Great Britain and Northern Ireland,0
1713776258,Trinidad and Tobago,Trinidad and Tobago,0
1713776280,Cyprus,Cyprus,#REF!
1713776344,,Serbia,0
1713776451,,Turkey,0
1713776477,,Poland,0
1713776515,,Czechia,0
1713776556,,Kazakhstan,0
1713776579,,France,0
1713776590,,Spain,0
1713776590,,Pakistan,0
1713776732,,Austria,0
1713777000,,Hong Kong,0
1713777050,Norway,Norway,#REF!
1713777082,,Sweden,0
1713777128,,United States of America,0
1713777163,,Namibia,0
1713777229,,United States of America,0
1713777252,,Belgium,0
1713777267,,Ireland,0
1713777278,,France,0
1713777319,,Turkey,0
1713777478,,Nigeria,0
1713777480,,Cambodia,0
1713777517,,Bulgaria,0
1713777528,Serbia,Serbia,0
1713777552,,Romania,0
1713777605,,Estonia,0
1713777663,,Switzerland,0
1713777730,,Belgium,0
1713777760,,France,0
1713777998,,Israel,0
1713778013,Spain,Spain,0
1713778014,,Denmark,0
1713778027,,Spain,0
1713778109,,Malta,0
1713778150,,United Kingdom of Great Britain and Northern Ireland,0
1713778157,,Saudi Arabia,0
1713778201,Spain,Spain,0
1713778221,,Singapore,0
1713778247,,Algeria,0
1713778354,,United Kingdom of Great Britain and Northern Ireland,0
1713778394,,Malaysia,0
1713778432,,United States of America,0
1713778437,,Kuwait,0
1713778673,,Turkey,0
1713778678,,Czechia,0
1713778781,Austria,Austria,10
1713778811,,Turkey,0
1713778977,,Germany,0
1713778988,France,France,0
1713778998,,Ireland,0
1713779006,,Greece,0
1713779127,,Belgium,0
1713779348,,Kazakhstan,0
1713779452,,France,0
1713779549,Portugal,Portugal,10
1713779694,,Portugal,0
1713779700,,Cyprus,0
1713779768,Ghana,Ghana,0
1713779845,,United States of America,0
1713779899,,Saudi Arabia,0
1713779928,,Spain,0
1713780003,,Philippines,0
1713780053,,Austria,0
1713780089,Italy,Italy,0
1713780122,,Germany,0
1713780184,,France,0
1713780192,,Netherlands,0
1713780212,,Belgium,0
1713780222,,Taiwan (Province of China),0
1713780519,Algeria,Algeria,0
1713780771,,United Kingdom of Great Britain and Northern Ireland,0
1713780773,,United Arab Emirates,0
1713780912,,Germany,0
1713780926,,Cyprus,0
1713780957,Israel,Israel,10
1713781047,,Poland,0
1713781066,South Africa,South Africa,10
1713781110,,Czechia,0
1713781204,,United States of America,0
1713781256,,Turkey,0
1713781258,,Portugal,0
1713781351,,Ireland,0
1713781364,,Poland,0
1713781365,,Serbia,0
1713781385,United States,Saudi Arabia,0
1713781386,,Mexico,0
1713781514,,Finland,0
1713781593,,Ireland,0
1713781609,,Estonia,0
1713781610,United Kingdom,Denmark,0
1713781652,,Czechia,0
1713781666,,United States of America,0
1713781672,,Mexico,0
1713781689,,Belgium,0
1713781720,,United States of America,0
1713781753,,Spain,0
1713781767,,Lithuania,0
1713781770,,United States of America,0
1713781799,,Belgium,0
1713781820,,Australia,0
1713781862,,Ethiopia,0
1713781867,,Ethiopia,0
1713781882,,Cyprus,0
